X,Y,Z,C
107,158.201,8.135,0
107,158.354,8.006,0
107,158.508,7.878,0
107,158.662,7.751,0
107,158.818,7.625,0
107,158.974,7.5,0
107,159.131,7.376,0
107,159.289,7.254,0
107,159.448,7.132,0
107,159.607,7.011,0
107,159.768,6.892,0
107,159.929,6.773,0
107,160.091,6.656,0
107,160.253,6.54,0
107,160.417,6.424,0
107,160.581,6.31,0
107,160.746,6.197,0
107,160.912,6.085,0
107,161.078,5.974,0
107,161.245,5.864,0
107,161.413,5.756,0
107,161.582,5.648,0
107,161.751,5.542,0
107,161.921,5.437,0
107,162.092,5.333,0
107,162.264,5.23,0
107,162.436,5.128,0
107,162.609,5.027,0
107,162.782,4.928,0
107,162.956,4.829,0
107,163.131,4.732,0
107,163.306,4.636,0
107,163.482,4.541,0
107,163.659,4.448,0
107,163.836,4.355,0
107,164.014,4.264,0
107,164.193,4.174,0
107,164.372,4.085,0
107,164.552,3.997,0
107,164.732,3.91,0
107,164.913,3.825,0
107,165.094,3.741,0
107,165.276,3.658,0
107,165.459,3.576,0
107,165.642,3.496,0
107,165.826,3.417,0
107,166.01,3.339,0
107,166.195,3.262,0
107,166.38,3.186,0
107,166.565,3.112,0
107,166.752,3.039,0
107,166.938,2.967,0
107,167.125,2.896,0
107,167.313,2.827,0
107,167.501,2.759,0
107,167.689,2.692,0
107,167.878,2.626,0
107,168.068,2.562,0
107,168.258,2.499,0
107,168.448,2.437,0
107,168.638,2.377,0
107,168.829,2.318,0
107,169.021,2.26,0
107,169.213,2.203,0
107,169.405,2.147,0
107,169.597,2.093,0
107,169.79,2.04,0
107,169.983,1.989,0
107,170.177,1.939,0
107,170.371,1.89,0
107,170.565,1.842,0
107,170.76,1.795,0
107,170.955,1.75,0
107,171.15,1.707,0
107,171.345,1.664,0
107,171.541,1.623,0
107,171.737,1.583,0
107,171.933,1.544,0
107,172.13,1.507,0
107,172.326,1.471,0
107,172.523,1.437,0
107,172.72,1.403,0
107,172.918,1.371,0
107,173.116,1.34,0
107,173.313,1.311,0
107,173.511,1.283,0
107,173.71,1.256,0
107,173.908,1.231,0
107,174.107,1.207,0
107,174.305,1.184,0
107,174.504,1.162,0
107,174.703,1.142,0
107,174.902,1.124,0
107,175.101,1.106,0
107,175.301,1.09,0
107,175.5,1.075,0
107,175.7,1.062,0
107,175.899,1.05,0
107,176.099,1.039,0
107,176.299,1.029,0
107,176.499,1.021,0
107,176.699,1.014,0
107,176.898,1.009,0
107,177.098,1.005,0
107,177.298,1.002,0
107,177.498,1,0
107,177.698,1,0
107,177.898,1,0
107,178.098,1,0
107,178.298,1,0
107,178.498,1,0
107,178.698,1,0
107,178.898,1,0
107,179.098,1,0
107,179.298,1,0
107,179.498,1,0
107,179.698,1,0
107,179.898,1,0
107,180.098,1,0
107,180.298,1,0
107,180.498,1,0
107,180.698,1,0
107,180.898,1,0
107,181.098,1,0
107,181.298,1,0
107,181.498,1,0
107,181.698,1,0
107,181.898,1,0
107,182.098,1,0
107,182.298,1,0
107,182.498,1,0
107,182.698,1,0
107,182.898,1,0
107,183.098,1,0
107,183.298,1,0
107,183.498,1,0
107,183.698,1,0
107,183.898,1,0
107,184.098,1,0
107,184.298,1,0
107,184.498,1,0
107,184.698,1,0
107,184.898,1,0
107,185.098,1,0
107,185.298,1,0
107,185.498,1,0
107,185.698,1,0
107,185.898,1,0
107,186.098,1,0
107,186.298,1,0
107,186.498,1,0
107,186.698,1,0
107,186.898,1,0
107,187.098,1,0
107,187.298,1,0
107,187.498,1,0
107,187.698,1,0
107,187.898,1,0
107,188.098,1,0
107,188.298,1,0
107,188.498,1,0
107,188.698,1,0
107,188.898,1,0
107,189.098,1,0
107,189.298,1,0
107,189.498,1,0
107,189.698,1,0
107,189.898,1,0
107,190.098,1,0
107,190.298,1,0
107,190.498,1,0
107,190.698,1,0
107,190.898,1,0
107,191.098,1,0
107,191.298,1,0
107,191.498,1,0
107,191.698,1,0
107,191.898,1,0
107,192.098,1,0
107,192.298,1,0
107,192.498,1,0
107,192.698,1,0
107,192.898,1,0
107,193.098,1,0
107,193.298,1,0
107,193.498,1,0
107,193.698,1,0
107,193.898,1,0
107,194.098,1,0
107,194.298,1,0
107,194.498,1,0
107,194.698,1,0
107,194.898,1,0
107,195.098,1,0
107,195.298,1,0
107,195.498,1,0
107,195.698,1,0
107,195.898,1,0
107,196.098,1,0
107,196.298,1,0
107,196.498,1,0
107,196.698,1,0
107,196.898,1,0
107,197.098,1,0
107,197.298,1,0
107,197.498,1,0
107,197.698,1,0
107,197.898,1,0
107,198.098,1,0
107,198.298,1,0
107,198.498,1,0
107,198.698,1,0
107,198.898,1,0
107,199.098,1,0
107,199.298,1,0
107,199.498,1,0
107,199.698,1,0
107,199.898,1,0
107,200.098,1,0
107,200.298,1,0
107,200.498,1,0
107,200.698,1,0
107,200.898,1,0
107,201.098,1,0
107,201.298,1,0
107,201.498,1,0
107,201.698,1,0
107,201.898,1,0
107,202.098,1,0
107,202.298,1,0
107,202.498,1,0
107,202.698,1,0
107,202.898,1,0
107,203.098,1,0
107,203.298,1,0
107,203.498,1,0
107,203.698,1,0
107,203.898,1,0
107,204.098,1,0
107,204.298,1,0
107,204.498,1,0
107,204.698,1,0
107,204.898,1,0
107,205.098,1,0
107,205.298,1,0
107,205.498,1,0
107,205.698,1,0
107,205.898,1,0
107,206.098,1,0
107,206.298,1,0
107,206.498,1,0
107,206.698,1,0
107,206.898,1,0
107,207.098,1,0
107,207.298,1,0
107,207.498,1,0
107,207.698,1,0
107,207.898,1,0
107,208.098,1,0
107,208.298,1,0
107,208.498,1,0
107,208.698,1,0
107,208.898,1,0
107,209.098,1,0
107,209.298,1,0
107,209.498,1,0
107,209.698,1,0
107,209.898,1,0
107,210.098,1,0
107,210.298,1,0
107,210.498,1,0
107,210.698,1,0
107,210.898,1,0
107,211.098,1,0
107,211.298,1,0
107,211.498,1,0
107,211.698,1,0
107,211.898,1,0
107,212.098,1,0
107,212.298,1,0
107,212.498,1,0
107,212.698,1,0
107,212.898,1,0
107,213.098,1,0
107,213.298,1,0
107,213.498,1,0
107,213.698,1,0
107,213.898,1,0
107,214.098,1,0
107,214.298,1,0
107,214.498,1,0
107,214.698,1,0
107,214.898,1,0
107,215.098,1,0
107,215.298,1,0
107,215.498,1,0
107,215.698,1,0
107,215.898,1,0
107,216.098,1,0
107,216.298,1,0
107,216.498,1,0
107,216.698,1,0
107,216.898,1,0
107,217.098,1,0
107,217.298,1,0
107,217.498,1,0
107,217.698,1,0
107,217.898,1,0
107,218.098,1,0
107,218.298,1,0
107,218.498,1,0
107,218.698,1,0
107,218.898,1,0
107,219.098,1,0
107,219.298,1,0
107,219.498,1,0
107,219.698,1,0
107,219.898,1,0
107,220.098,1,0
107,220.298,1,0
107,220.498,1,0
107,220.698,1,0
107,220.898,1,0
107,221.098,1.002,0
107,221.297,1.022,0
107,221.493,1.062,0
107,221.684,1.121,0
107,221.868,1.198,0
107,222.044,1.294,0
107,222.209,1.407,0
107,222.362,1.536,0
107,222.502,1.679,0
107,222.626,1.835,0
107,222.734,2.003,0
107,222.825,2.182,0
107,222.897,2.368,0
107,222.951,2.56,0
107,222.985,2.757,0
107,223,2.957,0
107,223,3.157,0
107,223,3.357,0
107,223,3.557,0
107,223,3.757,0
107,223,3.957,0
107,223,4.157,0
107,223,4.357,0
107,223,4.557,0
107,223,4.757,0
107,223,4.957,0
107,223,5.157,0
107,223,5.357,0
107,223,5.557,0
107,223,5.757,0
107,223,5.957,0
107,223,6.157,0
107,223,6.357,0
107,223,6.557,0
107,223,6.757,0
107,223,6.957,0
107,223,7.157,0
107,223,7.357,0
107,223,7.557,0
107,223,7.757,0
107,223,7.957,0
107,223,8.157,0
107,223,8.357,0
107,223,8.557,0
107,223,8.757,0
107,223,8.957,0
107,223,9.157,0
107,223,9.357,0
107,223,9.557,0
107,223,9.757,0
107,223,9.957,0
107,223,10.157,0
107,223,10.357,0
107,223,10.557,0
107,223,10.757,0
107,223,10.957,0
107,223,11.157,0
107,223,11.357,0
107,223,11.557,0
107,223,11.757,0
107,223,11.957,0
107,223,12.157,0
107,223,12.357,0
107,223,12.557,0
107,223,12.757,0
107,223,12.957,0
107,223,13.157,0
107,223,13.357,0
107,223,13.557,0
107,223,13.757,0
107,223,13.957,0
107,223,14.157,0
107,223,14.357,0
107,223,14.557,0
107,223,14.757,0
107,223,14.957,0
107,223,15.157,0
107,223,15.357,0
107,223,15.557,0
107,223,15.757,0
107,223,15.957,0
107,223,16.157,0
107,223,16.357,0
107,223,16.557,0
107,223,16.757,0
107,223,16.957,0
107,223,17.157,0
107,223,17.357,0
107,223,17.557,0
107,223,17.757,0
107,223,17.957,0
107,223,18.157,0
107,223,18.357,0
107,223,18.557,0
107,223,18.757,0
107,223,18.957,0
107,223,19.157,0
107,223,19.357,0
107,223,19.557,0
107,223,19.757,0
107,223,19.957,0
107,223,20.157,0
107,223,20.357,0
107,223,20.557,0
107,223,20.757,0
107,223,20.957,0
107,222.994,21.157,0
107,222.968,21.355,0
107,222.923,21.55,0
107,222.859,21.739,0
107,222.775,21.921,0
107,222.675,22.093,0
107,222.557,22.255,0
107,222.424,22.404,0
107,222.277,22.539,0
107,222.117,22.659,0
107,221.945,22.762,0
107,221.765,22.848,0
107,221.576,22.915,0
107,221.382,22.963,0
107,221.185,22.991,0
107,220.985,23,0
107,220.785,23,0
107,220.585,23,0
107,220.385,23,0
107,220.185,23,0
107,219.985,23,0
107,219.785,23,0
107,219.585,23,0
107,219.385,23,0
107,219.185,23,0
107,218.985,23,0
107,218.785,23,0
107,218.585,23.001,0
107,218.385,23.001,0
107,218.185,23.002,0
107,217.985,23.003,0
107,217.785,23.004,0
107,217.585,23.005,0
107,217.385,23.006,0
107,217.185,23.008,0
107,216.985,23.01,0
107,216.785,23.012,0
107,216.585,23.015,0
107,216.385,23.018,0
107,216.185,23.021,0
107,215.985,23.025,0
107,215.785,23.03,0
107,215.585,23.035,0
107,215.385,23.04,0
107,215.185,23.046,0
107,214.985,23.053,0
107,214.785,23.06,0
107,214.586,23.069,0
107,214.386,23.078,0
107,214.186,23.087,0
107,213.986,23.098,0
107,213.787,23.11,0
107,213.587,23.122,0
107,213.388,23.136,0
107,213.188,23.15,0
107,212.989,23.166,0
107,212.789,23.182,0
107,212.59,23.2,0
107,212.391,23.218,0
107,212.192,23.238,0
107,211.993,23.259,0
107,211.794,23.281,0
107,211.596,23.304,0
107,211.397,23.328,0
107,211.199,23.353,0
107,211,23.38,0
107,210.802,23.407,0
107,210.604,23.435,0
