time_ms,X,Y,Z,v
0.0,107.0,147.622,31.0,0.0
19.985822575741675,107.0,147.6224468937856,30.91062124288078,3.997164515148335
39.97164515148335,107.0,147.62289378757117,30.82124248576156,7.99432903029667
59.95746772722503,107.0,147.6246449024561,30.635509754389037,11.991493545445005
79.9432903029667,107.0,147.62903508844906,30.3585964620377,15.98865806059334
99.92911287870838,107.0,147.63895440286737,30.00151990442151,19.985822575741675
119.91493545445006,107.0,147.656972818098,29.561543638039623,23.98298709089001
139.90075803019175,107.0,147.68625087556194,29.04329422212387,27.980151606038344
159.8865806059334,107.0,147.73134015220714,28.44605703285733,31.977316121186675
179.87240318167508,107.0,147.7969301239199,27.770450242724422,35.97448063633501
199.85822575741676,107.0,147.8882844799502,27.017448960379472,39.971645151483344
219.84404833315847,107.0,148.01046056879142,26.187402059033083,43.968809666631685
239.82987090890012,107.0,148.1718890295906,25.282993426322218,47.96597418178002
259.81569348464177,107.0,148.3788777336687,24.306196487435596,51.96313869692833
279.8015160603835,107.0,148.63859513891373,23.259664289437254,55.96030321207669
299.7873386361252,107.0,148.95823935487817,22.146449032127414,59.95746772722504
319.7731612118668,107.0,149.34843152824658,20.971341383427518,63.95463224237336
339.7589837876085,107.0,149.81593799896368,19.73895293588956,67.95179675752166
359.74480636335016,107.0,150.37085592085398,18.455942438609384,71.94896127267002
379.7306289390919,107.0,151.02136985018493,17.129167059325486,75.94612578781836
399.7164515148335,107.0,151.77758418663183,15.767440791082423,79.9432903029667
419.7022740905752,107.0,152.64706527875026,14.3799384119591,83.94045481811501
439.68809666631694,107.0,153.63869653545584,12.977737952725542,87.93761933326334
459.67391924205856,107.0,154.76097583029946,11.574051734840966,91.93478384841166
479.65974181780024,107.0,156.02043812665772,10.182406498294911,95.93194836356
499.6455643935419,107.0,157.42397910984027,8.818735271429475,99.92911287870835
519.6313869692835,107.0,158.94514602223379,7.523120174492144,100.0
539.6172095450253,107.0,160.54947778789577,6.33191178158464,100.0
559.603032120767,107.0,162.22975365228527,5.250507987294295,100.0
579.5888546965086,107.0,163.97781627421472,4.282498421609334,100.0
599.5746772722504,107.0,165.78682687932493,3.4338188942028753,100.0
619.560499847992,107.0,167.64800626698184,2.7066094686819993,100.0
639.5463224237336,107.0,169.55357919756145,2.105212100685844,100.0
659.5321449994753,107.0,171.49509765639624,1.632602020855888,100.0
679.517967575217,107.0,173.46365251462888,1.2896956039918768,100.0
699.5037901509586,107.0,175.45069160995783,1.0787167128172497,100.0
719.4896127267003,107.0,177.4473831714629,1.000506168285371,100.0
739.4754353024421,107.0,179.44596289825887,1.0,100.0
759.4612578781838,107.0,181.44454515583303,1.0,100.0
779.4470804539254,107.0,183.44312741340715,1.0,100.0
799.432903029667,107.0,185.4417096709813,1.0,100.0
819.4187256054088,107.0,187.44029192855544,1.0,100.0
839.4045481811504,107.0,189.4388741861296,1.0,100.0
859.390370756892,107.0,191.43745644370372,1.0,100.0
879.3761933326339,107.0,193.43603870127788,1.0,100.0
899.3620159083755,107.0,195.43462095885204,1.0,100.0
919.3478384841171,107.0,197.40298688460797,1.0,96.52959356714764
939.3336610598589,107.0,199.2923611904853,1.0,92.53242905199927
959.3194836356005,107.0,201.10175787887238,1.0,88.5352645368509
979.3053062113421,107.0,202.83114979391584,1.0,84.53810002170255
999.2911287870838,107.0,204.48084616283774,1.0,80.54093550655426
1019.2769513628255,107.0,206.0505046198357,1.0,76.54377099140588
1039.262773938567,107.0,207.54034731231275,1.0,72.54660647625762
1059.2485965143087,107.0,208.9502700172697,1.0,68.54944196110934
1079.2344190900506,107.0,210.28043238242049,1.0,64.552277445961
1099.2202416657922,107.0,211.5305460161434,1.0,60.555112930812655
1119.206064241534,107.0,212.70097761171522,1.0,56.55794841566425
1139.1918868172756,107.0,213.7910494020239,1.0,52.56078390051591
1159.1777093930173,107.0,214.8015139444831,1.0,48.56361938536758
1179.1635319687591,107.0,215.732287827176,1.0,44.566454870219246
1199.1493545445007,107.0,216.58273606209343,1.0,40.56929035507091
1219.1351771202424,107.0,217.3535907213156,1.0,36.57212583992262
1239.120999695984,107.0,218.04445336860132,1.0,32.574961324774286
1259.1068222717256,107.0,218.65547617015378,1.0,28.57779680962596
1279.0926448474672,107.0,219.18583744942515,1.0,24.58063229447763
1299.078467423209,107.0,219.63686876460193,1.0,20.583467779329276
1319.0642899989507,107.0,220.03936967358192,1.0,20.0
1339.0501125746923,107.0,220.43908612509676,1.0,20.0
1359.035935150434,107.0,220.83880257661158,1.0,20.0
1379.0217577261756,107.0,221.23780473568624,1.0160507272046484,20.0
1399.0075803019172,107.0,221.6269383854805,1.1033736373997385,20.0
1418.993402877659,107.0,221.99137301955966,1.2652943743052598,20.0
1438.9792254534007,107.0,222.31586853034173,1.497104839307732,20.0
1458.9650480291425,107.0,222.58864981978286,1.7880110635977902,20.0
1478.9508706048841,107.0,222.79743231357162,2.1277734519705644,20.0
1498.9366931806258,107.0,222.93475154728773,2.502227723689705,20.0
1518.9225157563676,107.0,222.99545490465388,2.8963987287184323,20.0
1538.9083383321092,107.0,223.0,3.2959449781688024,20.0
1558.8941609078508,107.0,223.0,3.695661429683635,20.0
1578.8799834835925,107.0,223.0,4.095377881198468,20.0
1598.865806059334,107.0,223.0,4.524714129194985,23.380943327132997
1618.8516286350757,107.0,223.0,5.032137281952179,27.37810784228133
1638.8374512108176,107.0,223.0,5.6188742737882285,31.375272357429683
1658.8232737865592,107.0,223.0,6.285763150651637,35.37243687257799
1678.8090963623008,107.0,223.0,7.032516482481787,39.36960138772632
