X,Y,Z,C,
166.823,-168.25,3339.4,90,
166.823,-168.25,3339.6,90,
166.823,-168.25,3339.8,90,
166.823,-168.25,3340,90,
166.823,-168.25,3340.2,90,
166.823,-168.25,3340.4,90,
166.823,-168.25,3340.6,90,
166.823,-168.25,3340.8,90,
166.823,-168.25,3341,90,
166.823,-168.25,3341.2,90,
166.823,-168.25,3341.4,90,
166.823,-168.25,3341.6,90,
166.823,-168.25,3341.8,90,
166.823,-168.25,3342,90,
166.823,-168.25,3342.2,90,
166.823,-168.25,3342.4,90,
166.823,-168.25,3342.6,90,
166.823,-168.25,3342.8,90,
166.823,-168.25,3343,90,
166.823,-168.25,3343.2,90,
166.823,-168.25,3343.4,90,
166.823,-168.25,3343.6,90,
166.823,-168.25,3343.8,90,
166.823,-168.25,3344,90,
166.823,-168.25,3344.2,90,
166.823,-168.25,3344.4,90,
166.823,-168.25,3344.6,90,
166.823,-168.25,3344.8,90,
166.823,-168.25,3345,90,
166.823,-168.25,3345.2,90,
166.823,-168.25,3345.4,90,
166.823,-168.25,3345.6,90,
166.823,-168.25,3345.8,90,
166.823,-168.25,3346,90,
166.823,-168.25,3346.2,90,
166.823,-168.25,3346.4,90,
166.823,-168.25,3346.6,90,
166.823,-168.25,3346.8,90,
166.823,-168.25,3347,90,
166.823,-168.25,3347.2,90,
166.823,-168.25,3347.4,90,
166.823,-168.25,3347.6,90,
166.823,-168.25,3347.8,90,
166.823,-168.25,3348,90,
166.823,-168.25,3348.2,90,
166.823,-168.25,3348.4,90,
166.823,-168.25,3348.6,90,
166.823,-168.25,3348.8,90,
166.823,-168.25,3349,90,
166.823,-168.25,3349.2,90,
166.823,-168.25,3349.4,90,
166.823,-168.25,3349.6,90,
166.823,-168.25,3349.8,90,
166.823,-168.25,3350,90,
166.823,-168.25,3350.2,90,
166.823,-168.25,3350.4,90,
166.823,-168.25,3350.6,90,
166.823,-168.25,3350.8,90,
166.823,-168.25,3351,90,
166.823,-168.25,3351.2,90,
166.823,-168.25,3351.4,90,
166.823,-168.25,3351.6,90,
166.823,-168.25,3351.8,90,
166.823,-168.25,3352,90,
166.823,-168.25,3352.2,90,
166.823,-168.25,3352.4,90,
166.823,-168.25,3352.6,90,
166.823,-168.25,3352.8,90,
166.823,-168.25,3353,90,
166.823,-168.25,3353.2,90,
166.823,-168.25,3353.4,90,
166.823,-168.25,3353.6,90,
166.823,-168.25,3353.8,90,
166.823,-168.25,3354,90,
166.823,-168.25,3354.2,90,
166.823,-168.25,3354.4,90,
166.823,-168.25,3354.6,90,
166.823,-168.25,3354.8,90,
166.823,-168.25,3355,90,
166.823,-168.25,3355.2,90,
166.823,-168.25,3355.4,90,
166.823,-168.25,3355.6,90,
166.823,-168.25,3355.8,90,
166.823,-168.25,3356,90,
166.823,-168.25,3356.2,90,
166.823,-168.25,3356.4,90,
166.823,-168.25,3356.6,90,
166.823,-168.25,3356.8,90,
166.823,-168.25,3357,90,
166.823,-168.25,3357.2,90,
166.823,-168.25,3357.4,90,
166.823,-168.25,3357.6,90,
166.823,-168.25,3357.8,90,
166.823,-168.25,3358,90,
166.823,-168.25,3358.2,90,
166.823,-168.25,3358.4,90,
166.823,-168.25,3358.6,90,
166.823,-168.25,3358.8,90,
166.823,-168.25,3359,90,
166.823,-168.25,3359.2,90,
166.823,-168.25,3359.4,90,
166.823,-168.25,3359.6,90,
166.823,-168.25,3359.8,90,
166.823,-168.25,3360,90,
166.823,-168.25,3360.2,90,
166.823,-168.25,3360.4,90,
166.823,-168.25,3360.6,90,
166.823,-168.25,3360.8,90,
166.823,-168.25,3361,90,
166.823,-168.25,3361.2,90,
166.823,-168.25,3361.4,90,
166.823,-168.25,3361.6,90,
166.823,-168.25,3361.8,90,
166.823,-168.25,3362,90,
166.823,-168.25,3362.2,90,
166.823,-168.25,3362.4,90,
166.823,-168.25,3362.6,90,
166.823,-168.25,3362.8,90,
166.823,-168.25,3363,90,
166.823,-168.25,3363.2,90,
166.823,-168.25,3363.4,90,
