time_s,s_mm,v_mm_s,X,Y,Z,dangerous
0.0,0.0,0.0,107.0,-125.378,150.0,0.0
0.05,0.125,2.5,107.0,-125.37799999999999,149.875000000625,0.0
0.1,0.375,5.0,107.0,-125.37712501094167,149.62500218833395,0.0
0.15000000000000002,0.75,7.500000000000001,107.0,-125.37525003437811,149.25000687562107,0.0
0.2,1.25,10.0,107.0,-125.37125038432609,148.75002562173876,0.0
0.25,1.875,12.5,107.0,-125.36287625137382,148.1250834249218,0.0
0.30000000000000004,2.625,15.000000000000002,107.0,-125.34850444877569,147.37522243878414,0.0
0.35000000000000003,3.5,17.5,107.0,-125.32600053210699,146.50051764821518,0.0
0.4,4.5,20.0,107.0,-125.29150416049842,145.50111887138362,0.0
0.45,5.625,22.5,107.00000000000001,-125.24275933497867,144.37718669957346,0.0
0.5,6.875,25.0,107.0,-125.1755004254399,143.129007090665,0.0
0.55,8.25,27.500000000000004,107.0,-125.08549757471434,141.75696535306204,0.0
0.6000000000000001,9.75,30.000000000000004,107.0,-124.96823490537881,140.26157330414017,0.0
0.65,11.375,32.5,107.0,-124.81846294235193,138.64350627640175,0.0
0.7000000000000001,13.125,35.0,107.0,-124.63062679339932,136.9036405168028,0.0
0.75,15.0,37.5,107.0,-124.39801977946904,135.0431506282643,0.0
0.8,17.0,40.0,107.0,-124.11406685422128,133.06344123786036,0.0
0.8500000000000001,19.125,42.50000000000001,107.0,-123.77278299727942,130.96606619011897,0.0
0.9,21.375,45.0,107.0,-123.36473502787945,128.75342277537823,0.0
0.9500000000000001,23.75,47.5,107.0,-122.8837397352288,126.42770345045622,0.0
1.0,26.25,50.0,107.0,-122.32133470449295,123.9918496313114,0.0
1.05,28.875,52.5,107.0,-121.66844394477604,121.44941694888037,0.0
1.1,31.625,55.00000000000001,107.0,-120.91773668896853,118.80395593589581,0.0
1.1500000000000001,34.5,57.50000000000001,107.0,-120.05908688037542,116.06026624631176,0.0
1.2000000000000002,37.5,60.00000000000001,107.0,-119.08541886416035,113.22277233525588,0.0
1.25,40.625,62.5,107.0,-117.98795094641925,110.29694350731477,0.0
1.3,43.875,65.0,107.0,-116.75978086985987,107.28807282120792,0.0
1.35,47.25,67.5,107.0,-115.39406502107872,104.20189010494342,0.0
1.4000000000000001,50.75,70.0,107.0,-113.88331781109216,101.04488638410668,0.0
1.4500000000000002,54.375,72.50000000000001,107.0,-112.22385297277623,97.82219280009166,0.0
1.5,58.125,75.0,107.0,-110.41053054734584,94.53992784690831,0.0
1.55,62.0,77.5,107.0,-108.44023818328482,91.20339162828562,0.0
1.6,66.0,80.0,107.0,-106.31116543599026,87.81725498391158,0.0
1.6500000000000001,70.125,82.5,107.0,-104.02341966443316,84.38494021797761,0.0
1.7000000000000002,74.375,85.00000000000001,107.0,-101.57587477665582,80.91059584460035,0.0
1.75,78.75,87.5,107.0,-98.96667372697678,77.39897641466644,0.0
1.8,83.25,90.0,107.0,-96.18232622835896,73.86403623329875,0.0
1.85,87.875,92.5,107.0,-93.20762147083775,70.32288803504291,0.0
1.9000000000000001,92.625,95.0,107.0,-90.02834416737764,66.79411947380247,0.0
1.9500000000000002,97.5,97.50000000000001,107.0,-86.63243306529986,63.296930015544234,0.0
2.0,102.5,100.0,107.0,-83.01026135470956,59.85073839787695,0.0
2.0500000000000003,107.5,100.0,107.0,-79.25086138206237,56.554804694680044,0.0
2.1,112.5,100.0,107.0,-75.36094102042037,53.41395445880561,0.0
2.15,117.5,100.0,107.0,-71.34776514240077,50.43218869029749,0.0
2.2,122.5,100.0,107.0,-67.2142821555426,47.61968306520324,0.0
2.25,127.5,100.0,107.0,-62.95454822651078,45.00252815536179,0.0
2.3000000000000003,132.5,100.0,107.0,-58.56353398122694,42.612517275372355,0.0
2.35,137.5,100.0,107.0,-54.03657565918992,40.49174715802176,0.0
2.4000000000000004,142.5,100.0,107.0,-49.37199415314971,38.694669946850425,0.0
2.45,147.5,100.0,107.0,-44.57552437798406,37.288627040027066,0.0
2.5,152.5,100.0,107.0,-39.665356520995815,36.35754861649943,0.0
2.5500000000000003,157.5,100.0,107.0,-34.68167217975663,35.99451008269635,0.0
2.6,162.5,100.0,107.0,-29.682453549808724,35.907009070996175,0.0
2.6500000000000004,167.5,100.0,107.0,-24.683226231771748,35.820004524635436,0.0
2.7,172.5,100.0,107.0,-19.6840075734004,35.732500113601006,0.0
2.75,177.5,100.0,107.0,-14.68477992207059,35.64551169883106,0.0
2.8000000000000003,182.5,100.0,107.0,-9.68556119481793,35.55801122389636,0.0
2.85,187.5,100.0,107.0,-4.686333788900242,35.471006675778,0.0
2.9000000000000004,192.5,100.0,107.0,0.31288486006238464,35.38350172709906,0.0
2.95,197.5,100.0,107.0,5.312112399071723,35.29650584323007,0.0
3.0,202.5,100.0,107.0,10.311331248053577,35.20901337503893,0.0
3.0500000000000003,207.5,100.0,107.0,15.310558566090553,35.12200882867819,0.0
3.1,212.5,100.0,107.0,20.309777117748375,35.03450334323378,0.0
3.1500000000000004,217.5,100.0,107.0,25.309004455670333,34.94749993316494,0.0
3.2,222.5,100.0,107.0,30.308223427282947,34.86001553145434,0.0
3.25,227.5,100.0,107.0,35.30745074531998,34.7730109850936,0.0
3.3000000000000003,232.5,100.0,107.0,40.30666928754613,34.6855049606868,0.0
3.35,237.5,100.0,107.0,45.3058967133566,34.598501549299655,0.0
3.4000000000000004,242.5,100.0,107.0,50.30511569439345,34.51101768611213,0.0
3.45,247.5,100.0,107.0,55.304334295198956,34.42350998557201,0.0
