time_ms,X,Y,Z
0,107.0,-125.378,150.0
50,107.0,-125.27098175557383,145.0015438893458
100,107.0,-124.9470402352803,140.01247335623881
150,107.0,-124.39801977946904,135.0431506282643
200,107.0,-123.61991310546367,130.1045244937873
250,107.0,-122.61001170793966,125.20805073440519
300,107.0,-121.36993004482937,120.36475452094668
350,107.0,-119.90217463989941,115.58552669176014
400,107.0,-118.21421111030592,110.87954830037792
450,107.0,-116.31490569826924,106.2547842847909
500,107.0,-114.21521835307982,101.71744663129962
550,107.0,-111.92827300448063,97.27150577672202
600,107.0,-109.46921322111506,92.91836163973437
650,107.0,-106.8521706775361,88.65826707873704
700,107.0,-104.09404996211599,84.48807295353221
750,107.0,-101.20881175141419,80.40474155702624
800,107.0,-98.20381366455491,76.4087606422738
850,107.0,-95.07002322897,72.51302776587822
900,107.0,-91.80105665175302,68.7300634670015
950,107.0,-88.39089392783342,65.07389089720009
1000,107.0,-84.83914025729219,61.5551334862505
1050,107.0,-81.14750668983929,58.18344293416415
1100,107.0,-77.32221825720032,54.96417742198219
1150,107.0,-73.36917009367062,51.90312572140871
1200,107.0,-69.29643080650277,49.00329325984826
1250,107.0,-65.10032523964954,46.28519970855673
1300,107.0,-60.77615081222219,43.776082731276176
1350,107.0,-56.317359724658104,41.515168931469276
1400,107.0,-51.72126536744111,39.549102173560215
1450,107.0,-46.989433770727025,37.938126516462056
1500,107.0,-42.13273574241219,36.75814191985616
1550,107.0,-37.179116753302246,36.09900938720018
1600,107.0,-32.18205866799947,35.95100088001999
1650,107.0,-27.18283134383107,35.86399662687662
1700,107.0,-22.183621119712395,35.77601242239425
1750,107.0,-17.18439371379474,35.689007874275894
1800,107.0,-12.185166322425081,35.60200249483637
1850,107.0,-7.185956390912936,35.513999345863695
1900,107.0,-2.1867286768409193,35.427014573536816
1950,107.0,2.812498685227375,35.340007519721595
2000,107.0,7.811726111037705,35.25300410833444
2050,107.0,12.81093595926365,35.16500128081473
2100,107.0,17.810163678149877,35.078016726437006
2150,107.0,22.809390942913332,34.9910091358563
2200,107.0,27.808618280835326,34.90400572578747
2250,107.0,32.807828138492994,34.816003437230144
2300,107.0,37.80705585737939,34.72901888285241
2350,107.0,42.80628311271116,34.642010753309336
2400,107.0,47.80551053852165,34.55500734192218
2450,107.0,52.804720493484304,34.46700559013031
2500,107.0,57.8039482123707,34.38002103575259
2550,107.0,62.803175546174536,34.29301236680738
2600,107.0,67.80240288409655,34.20600895673856
2650,107.0,72.8016128484757,34.11800774303049
2700,107.0,77.80084025439349,34.03100319491213
2750,107.0,82.8000678917494,33.94401398162376
2800,107.0,87.79929522967142,33.85701057155493
2850,107.0,92.79850511558621,33.76900989768827
2900,107.0,97.79773249810604,33.68200401252841
2950,107.0,102.79696014943588,33.59501559775846
3000,107.0,107.79617006465973,33.507016598706805
3050,107.0,112.79539738269678,33.42001205234607
3100,107.0,117.7946247557924,33.33300562866311
3150,107.0,122.7938524071224,33.24601721389317
3200,107.0,127.79306241965106,33.15801875160698
3250,107.0,132.79228982556887,33.07101420348862
3300,107.0,137.79151710136745,32.98400724347949
3350,107.0,142.78481121911554,32.76911947546577
3400,107.0,147.73344437633534,32.06209589443959
3450,107.0,152.63815253072704,31.09218160055849
3500,107.0,157.51256403468517,29.97910562046287
3550,107.0,162.36691472000587,28.78127411711192
3600,107.0,167.20969084552092,27.537344159167187
3650,107.0,172.0493113534482,26.281178405842436
3700,107.0,176.8966711294336,25.05532710660096
3750,107.0,181.7713010313909,23.94414264665492
3800,107.0,186.71198153453744,23.19309212250415
3850,107.0,191.7066101373795,23.001006949313105
3900,107.0,196.50746072657455,22.31455867175012
3950,107.0,197.0,17.433762323706073
4000,107.0,197.0,12.433762323705789
4050,107.0,197.0,7.433762323705506
4100,107.0,196.91973874614027,2.4412403541617276
4150,107.0,192.57394047789805,1.0
4200,107.0,187.5739404778981,1.0
4250,107.0,182.5739404778981,1.0
4300,107.0,177.57394050364167,1.0000102974817917
4350,107.0,172.59763391426517,1.4232427055874057
4400,107.0,167.76085665784336,2.6674013860762638
4450,107.0,163.19724494229376,4.695972803414321
4500,107.0,159.03327425398984,7.4533740016004355
4550,107.0,155.38461961567532,10.863534904958039
4600,107.0,152.3520032156251,14.831574360367856
4650,107.0,150.02015910323664,19.247994434631032
4700,107.0,148.4525731333924,23.989809543227896
4750,107.0,147.622,30.923
