X,Y,Z,C,,
166.823,-168.25,3287.2,90,,
166.823,-168.25,3287.4,90,,
166.823,-168.25,3287.6,90,,
166.823,-168.25,3287.8,90,,
166.823,-168.25,3288,90,,
166.823,-168.25,3288.2,90,,
166.823,-168.25,3288.4,90,,
166.823,-168.25,3288.6,90,,
166.823,-168.25,3288.8,90,,
166.823,-168.25,3289,90,,
166.823,-168.25,3289.2,90,,
166.823,-168.25,3289.4,90,,
166.823,-168.25,3289.6,90,,
166.823,-168.25,3289.8,90,,
166.823,-168.25,3290,90,,
166.823,-168.25,3290.2,90,,
166.823,-168.25,3290.4,90,,
166.823,-168.25,3290.6,90,,
166.823,-168.25,3290.8,90,,
166.823,-168.25,3291,90,,
166.823,-168.25,3291.2,90,,
166.823,-168.25,3291.4,90,,
166.823,-168.25,3291.6,90,,
166.823,-168.25,3291.8,90,,
166.823,-168.25,3292,90,,
166.823,-168.25,3292.2,90,,
166.823,-168.25,3292.4,90,,
166.823,-168.25,3292.6,90,,
166.823,-168.25,3292.8,90,,
166.823,-168.25,3293,90,,
166.823,-168.25,3293.2,90,,
166.823,-168.25,3293.4,90,,
166.823,-168.25,3293.6,90,,
166.823,-168.25,3293.8,90,,
166.823,-168.25,3294,90,,
166.823,-168.25,3294.2,90,,
166.823,-168.25,3294.4,90,,
166.823,-168.25,3294.6,90,,
166.823,-168.25,3294.8,90,,
166.823,-168.25,3295,90,,
166.823,-168.25,3295.2,90,,
166.823,-168.25,3295.4,90,,
166.823,-168.25,3295.6,90,,
166.823,-168.25,3295.8,90,,
166.823,-168.25,3296,90,,
166.823,-168.25,3296.2,90,,
166.823,-168.25,3296.4,90,,
166.823,-168.25,3296.6,90,,
166.823,-168.25,3296.8,90,,
166.823,-168.25,3297,90,,
166.823,-168.25,3297.2,90,,
166.823,-168.25,3297.4,90,,
166.823,-168.25,3297.6,90,,
166.823,-168.25,3297.8,90,,
166.823,-168.25,3298,90,,
166.823,-168.25,3298.2,90,,
166.823,-168.25,3298.4,90,,
166.823,-168.25,3298.6,90,,
166.823,-168.25,3298.8,90,,
166.823,-168.25,3299,90,,
166.823,-168.25,3299.2,90,,
166.823,-168.25,3299.4,90,,
166.823,-168.25,3299.6,90,,
166.823,-168.25,3299.8,90,,
166.823,-168.25,3300,90,,
166.823,-168.25,3300.2,90,,
166.823,-168.25,3300.4,90,,
166.823,-168.25,3300.6,90,,
166.823,-168.25,3300.8,90,,
166.823,-168.25,3301,90,,
166.823,-168.25,3301.2,90,,
166.823,-168.25,3301.4,90,,
166.823,-168.25,3301.6,90,,
166.823,-168.25,3301.8,90,,
166.823,-168.25,3302,90,,
166.823,-168.25,3302.2,90,,
166.823,-168.25,3302.4,90,,
166.823,-168.25,3302.6,90,,
166.823,-168.25,3302.8,90,,
166.823,-168.25,3303,90,,
166.823,-168.25,3303.2,90,,
166.823,-168.25,3303.4,90,,
166.823,-168.25,3303.6,90,,
166.823,-168.25,3303.8,90,,
166.823,-168.25,3304,90,,
166.823,-168.25,3304.2,90,,
166.823,-168.25,3304.4,90,,
166.823,-168.25,3304.6,90,,
166.823,-168.25,3304.8,90,,
166.823,-168.25,3305,90,,
166.823,-168.25,3305.2,90,,
166.823,-168.25,3305.4,90,,
166.823,-168.25,3305.6,90,,
166.823,-168.25,3305.8,90,,
166.823,-168.25,3306,90,,
166.823,-168.25,3306.2,90,,
166.823,-168.25,3306.4,90,,
166.823,-168.25,3306.6,90,,
166.823,-168.25,3306.8,90,,
166.823,-168.25,3307,90,,
166.823,-168.25,3307.2,90,,
166.823,-168.25,3307.4,90,,
166.823,-168.25,3307.6,90,,
166.823,-168.25,3307.8,90,,
166.823,-168.25,3308,90,,
166.823,-168.25,3308.2,90,,
166.823,-168.25,3308.4,90,,
166.823,-168.25,3308.6,90,,
166.823,-168.25,3308.8,90,,
166.823,-168.25,3309,90,,
166.823,-168.25,3309.2,90,,
166.823,-168.25,3309.4,90,,
166.823,-168.25,3309.6,90,,
166.823,-168.25,3309.8,90,,
166.823,-168.25,3310,90,,
