X,Y,Z,C
107,180.898,1,90
107,181.098,1,90
107,181.298,1,90
107,181.498,1,90
107,181.698,1,90
107,181.898,1,90
107,182.098,1,90
107,182.298,1,90
107,182.498,1,90
107,182.698,1,90
107,182.898,1,90
107,183.098,1,90
107,183.298,1,90
107,183.498,1,90
107,183.698,1,90
107,183.898,1,90
107,184.098,1,90
107,184.298,1,90
107,184.498,1,90
107,184.698,1,90
107,184.898,1,90
107,185.098,1,90
107,185.298,1,90
107,185.498,1,90
107,185.698,1,90
107,185.898,1,90
107,186.098,1,90
107,186.298,1,90
107,186.498,1,90
107,186.698,1,90
107,186.898,1,90
107,187.098,1,90
107,187.298,1,90
107,187.498,1,90
107,187.698,1,90
107,187.898,1,90
107,188.098,1,90
107,188.298,1,90
107,188.498,1,90
107,188.698,1,90
107,188.898,1,90
107,189.098,1,90
107,189.298,1,90
107,189.498,1,90
107,189.698,1,90
107,189.898,1,90
107,190.098,1,90
107,190.298,1,90
107,190.498,1,90
107,190.698,1,90
107,190.898,1,90
107,191.098,1,90
107,191.298,1,90
107,191.498,1,90
107,191.698,1,90
107,191.898,1,90
107,192.098,1,90
107,192.298,1,90
107,192.498,1,90
107,192.698,1,90
107,192.898,1,90
107,193.098,1,90
107,193.298,1,90
107,193.498,1,90
107,193.698,1,90
107,193.898,1,90
107,194.098,1,90
107,194.298,1,90
107,194.498,1,90
107,194.698,1,90
107,194.898,1,90
107,195.098,1,90
107,195.298,1,90
107,195.498,1,90
107,195.698,1,90
107,195.898,1,90
107,196.098,1,90
107,196.298,1,90
107,196.498,1,90
107,196.698,1,90
107,196.898,1,90
107,197.098,1,90
107,197.298,1,90
107,197.498,1,90
107,197.698,1,90
107,197.898,1,90
107,198.098,1,90
107,198.298,1,90
107,198.498,1,90
107,198.698,1,90
107,198.898,1,90
107,199.098,1,90
107,199.298,1,90
107,199.498,1,90
107,199.698,1,90
107,199.898,1,90
107,200.098,1,90
107,200.298,1,90
107,200.498,1,90
107,200.698,1,90
107,200.898,1,90
107,201.098,1,90
107,201.298,1,90
107,201.498,1,90
107,201.698,1,90
107,201.898,1,90
107,202.098,1,90
107,202.298,1,90
107,202.498,1,90
107,202.698,1,90
107,202.898,1,90
107,203.098,1,90
107,203.298,1,90
107,203.498,1,90
107,203.698,1,90
107,203.898,1,90
107,204.098,1,90
107,204.298,1,90
107,204.498,1,90
107,204.698,1,90
107,204.898,1,90
107,205.098,1,90
107,205.298,1,90
107,205.498,1,90
107,205.698,1,90
107,205.898,1,90
107,206.098,1,90
107,206.298,1,90
107,206.498,1,90
107,206.698,1,90
107,206.898,1,90
107,207.098,1,90
107,207.298,1,90
107,207.498,1,90
107,207.698,1,90
107,207.898,1,90
107,208.098,1,90
107,208.298,1,90
107,208.498,1,90
107,208.698,1,90
107,208.898,1,90
107,209.098,1,90
107,209.298,1,90
107,209.498,1,90
107,209.698,1,90
107,209.898,1,90
107,210.098,1,90
107,210.298,1,90
107,210.498,1,90
107,210.698,1,90
107,210.898,1,90
107,211.098,1,90
107,211.298,1,90
107,211.498,1,90
107,211.698,1,90
107,211.898,1,90
107,212.098,1,90
107,212.298,1,90
107,212.498,1,90
107,212.698,1,90
107,212.898,1,90
107,213.098,1,90
107,213.298,1,90
107,213.498,1,90
107,213.698,1,90
107,213.898,1,90
107,214.098,1,90
107,214.298,1,90
107,214.498,1,90
107,214.698,1,90
107,214.898,1,90
107,215.098,1,90
107,215.298,1,90
107,215.498,1,90
107,215.698,1,90
107,215.898,1,90
107,216.098,1,90
107,216.298,1,90
107,216.498,1,90
107,216.698,1,90
107,216.898,1,90
107,217.098,1,90
107,217.298,1,90
107,217.498,1,90
107,217.698,1,90
107,217.898,1,90
107,218.098,1,90
107,218.298,1,90
107,218.498,1,90
107,218.698,1,90
107,218.898,1,90
107,219.098,1,90
107,219.298,1,90
107,219.498,1,90
107,219.698,1,90
107,219.898,1,90
107,220.098,1,90
107,220.298,1,90
107,220.498,1,90
107,220.698,1,90
107,220.898,1,90
107,221.098,1.001,90
107,221.298,1.016,90
107,221.493,1.059,90
107,221.683,1.12,90
107,221.867,1.198,90
107,222.043,1.293,90
107,222.208,1.406,90
107,222.361,1.535,90
107,222.501,1.678,90
107,222.625,1.834,90
107,222.733,2.002,90
107,222.824,2.18,90
107,222.897,2.367,90
107,222.954,2.558,90
107,222.991,2.755,90
107,223,2.954,90
107,223,3.154,90
107,223,3.354,90
107,223,3.554,90
107,223,3.754,90
107,223,3.954,90
107,223,4.154,90
107,223,4.354,90
107,223,4.554,90
107,223,4.754,90
107,223,4.954,90
107,223,5.154,90
107,223,5.354,90
107,223,5.554,90
107,223,5.754,90
107,223,5.954,90
107,223,6.154,90
107,223,6.354,90
107,223,6.554,90
107,223,6.754,90
107,223,6.954,90
107,223,7.154,90
107,223,7.354,90
107,223,7.554,90
107,223,7.754,90
107,223,7.954,90
107,223,8.154,90
107,223,8.354,90
107,223,8.554,90
107,223,8.754,90
107,223,8.954,90
107,223,9.154,90
107,223,9.354,90
107,223,9.554,90
107,223,9.754,90
107,223,9.954,90
107,223,10.154,90
107,223,10.354,90
107,223,10.554,90
107,223,10.754,90
107,223,10.954,90
107,223,11.154,90
107,223,11.354,90
107,223,11.554,90
107,223,11.754,90
107,223,11.954,90
107,223,12.154,90
107,223,12.354,90
107,223,12.554,90
107,223,12.754,90
107,223,12.954,90
107,223,13.154,90
107,223,13.354,90
107,223,13.554,90
107,223,13.754,90
107,223,13.954,90
107,223,14.154,90
107,223,14.354,90
107,223,14.554,90
107,223,14.754,90
107,223,14.954,90
107,223,15.154,90
107,223,15.354,90
107,223,15.554,90
107,223,15.754,90
107,223,15.954,90
107,223,16.154,90
107,223,16.354,90
107,223,16.554,90
107,223,16.754,90
107,223,16.954,90
107,223,17.154,90
107,223,17.354,90
107,223,17.554,90
107,223,17.754,90
107,223,17.954,90
107,223,18.154,90
107,223,18.354,90
107,223,18.554,90
107,223,18.754,90
107,223,18.954,90
107,223,19.154,90
107,223,19.354,90
107,223,19.554,90
107,223,19.754,90
107,223,19.954,90
107,223,20.154,90
107,223,20.354,90
107,223,20.554,90
107,223,20.754,90
107,223,20.954,90
107,222.998,21.154,90
107,222.975,21.353,90
107,222.925,21.546,90
107,222.86,21.735,90
107,222.777,21.917,90
107,222.677,22.09,90
107,222.559,22.252,90
107,222.427,22.402,90
107,222.28,22.537,90
107,222.12,22.657,90
107,221.949,22.761,90
107,221.768,22.847,90
107,221.58,22.914,90
107,221.386,22.963,90
107,221.189,22.993,90
107,220.989,23.006,90
107,220.789,23.007,90
107,220.589,23.004,90
107,220.389,23.001,90
107,220.189,23,90
107,219.989,23,90
107,219.789,23,90
107,219.589,23,90
107,219.389,23,90
107,219.189,23,90
107,218.989,23,90
107,218.789,23,90
107,218.589,23.001,90
107,218.389,23.001,90
107,218.189,23.002,90
107,217.989,23.003,90
107,217.789,23.004,90
107,217.589,23.005,90
107,217.389,23.006,90
107,217.189,23.008,90
107,216.989,23.01,90
107,216.789,23.012,90
107,216.589,23.015,90
107,216.389,23.018,90
107,216.189,23.021,90
107,215.989,23.025,90
107,215.789,23.03,90
107,215.589,23.035,90
107,215.389,23.04,90
107,215.19,23.046,90
107,214.99,23.053,90
107,214.79,23.06,90
107,214.59,23.069,90
107,214.39,23.077,90
107,214.19,23.087,90
107,213.991,23.098,90
107,213.791,23.109,90
107,213.591,23.122,90
107,213.392,23.135,90
107,213.192,23.15,90
107,212.993,23.165,90
107,212.794,23.182,90
107,212.594,23.199,90
107,212.395,23.218,90
107,212.196,23.238,90
107,211.997,23.258,90
107,211.799,23.28,90
107,211.6,23.303,90
107,211.401,23.328,90
107,211.203,23.353,90
107,211.005,23.379,90
107,210.807,23.406,90
107,210.609,23.435,90
107,210.411,23.464,90
107,210.213,23.495,90
107,210.016,23.526,90
107,209.818,23.558,90
107,209.621,23.592,90
107,209.424,23.626,90
107,209.227,23.661,90
107,209.03,23.696,90
107,208.834,23.733,90
107,208.637,23.77,90
107,208.441,23.808,90
107,208.245,23.847,90
107,208.048,23.886,90
107,207.852,23.926,90
107,207.657,23.967,90
107,207.461,24.008,90
107,207.265,24.05,90
107,207.07,24.092,90
107,206.875,24.135,90
107,206.679,24.178,90
107,206.484,24.222,90
107,206.289,24.266,90
107,206.094,24.31,90
107,205.899,24.355,90
107,205.704,24.4,90
107,205.509,24.446,90
107,205.315,24.491,90
107,205.12,24.537,90
107,204.926,24.584,90
107,204.731,24.63,90
107,204.537,24.677,90
107,204.342,24.724,90
107,204.148,24.772,90
107,203.954,24.819,90
107,203.759,24.867,90
107,203.565,24.915,90
107,203.371,24.963,90
107,203.177,25.011,90
107,202.983,25.059,90
107,202.789,25.108,90
107,202.595,25.156,90
107,202.401,25.205,90
107,202.207,25.254,90
107,202.013,25.303,90
107,201.819,25.352,90
107,201.625,25.402,90
107,201.432,25.451,90
107,201.238,25.5,90
107,201.044,25.55,90
107,200.85,25.6,90
107,200.657,25.649,90
107,200.463,25.699,90
107,200.269,25.749,90
107,200.075,25.799,90
107,199.882,25.849,90
107,199.688,25.899,90
107,199.495,25.949,90
107,199.301,25.999,90
107,199.107,26.049,90
107,198.914,26.099,90
107,198.72,26.149,90
107,198.526,26.2,90
107,198.333,26.25,90
107,198.139,26.3,90
107,197.946,26.35,90
107,197.752,26.401,90
107,197.559,26.451,90
107,197.365,26.501,90
107,197.171,26.552,90
107,196.978,26.602,90
107,196.784,26.652,90
107,196.591,26.703,90
107,196.397,26.753,90
107,196.204,26.803,90
107,196.01,26.853,90
107,195.816,26.904,90
107,195.623,26.954,90
107,195.429,27.004,90
107,195.236,27.054,90
107,195.042,27.104,90
107,194.848,27.154,90
107,194.655,27.204,90
107,194.461,27.254,90
107,194.267,27.304,90
107,194.074,27.354,90
107,193.88,27.404,90
107,193.686,27.454,90
107,193.493,27.504,90
107,193.299,27.553,90
107,193.105,27.603,90
107,192.911,27.652,90
107,192.718,27.702,90
107,192.524,27.751,90
107,192.33,27.801,90
107,192.136,27.85,90
107,191.942,27.899,90
107,191.748,27.948,90
107,191.555,27.998,90
107,191.361,28.046,90
107,191.167,28.095,90
107,190.973,28.144,90
107,190.779,28.193,90
107,190.585,28.242,90
107,190.391,28.29,90
107,190.197,28.339,90
107,190.003,28.387,90
107,189.809,28.435,90
107,189.614,28.483,90
107,189.42,28.531,90
107,189.226,28.579,90
107,189.032,28.627,90
107,188.838,28.675,90
107,188.643,28.722,90
107,188.449,28.77,90
107,188.255,28.817,90
107,188.061,28.864,90
107,187.866,28.912,90
107,187.672,28.959,90
107,187.477,29.005,90
107,187.283,29.052,90
107,187.088,29.099,90
107,186.894,29.145,90
107,186.699,29.192,90
107,186.505,29.238,90
107,186.31,29.284,90
107,186.115,29.33,90
107,185.921,29.375,90
107,185.726,29.421,90
107,185.531,29.466,90
107,185.336,29.512,90
107,185.142,29.557,90
107,184.947,29.602,90
107,184.752,29.646,90
107,184.557,29.691,90
107,184.362,29.735,90
107,184.167,29.78,90
107,183.972,29.824,90
107,183.776,29.868,90
107,183.581,29.911,90
107,183.386,29.955,90
107,183.191,29.998,90
107,182.996,30.041,90
107,182.8,30.084,90
107,182.605,30.127,90
107,182.409,30.17,90
107,182.214,30.212,90
107,182.018,30.254,90
107,181.823,30.296,90
107,181.627,30.338,90
107,181.432,30.379,90
107,181.236,30.42,90
107,181.04,30.462,90
107,180.844,30.502,90
107,180.649,30.543,90
107,180.453,30.583,90
107,180.257,30.623,90
107,180.061,30.663,90
107,179.865,30.703,90
107,179.669,30.742,90
107,179.472,30.781,90
107,179.276,30.82,90
107,179.08,30.859,90
107,178.884,30.897,90
107,178.687,30.935,90
107,178.491,30.973,90
107,178.295,31.01,90
107,178.098,31.047,90
107,177.901,31.084,90
107,177.705,31.121,90
107,177.508,31.157,90
107,177.311,31.193,90
107,177.115,31.229,90
107,176.918,31.264,90
107,176.721,31.299,90
107,176.524,31.334,90
107,176.327,31.368,90
107,176.13,31.402,90
107,175.933,31.436,90
107,175.735,31.469,90
107,175.538,31.502,90
107,175.341,31.535,90
107,175.143,31.567,90
107,174.946,31.599,90
107,174.748,31.63,90
107,174.551,31.661,90
107,174.353,31.692,90
